mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
32 	32 	1/4     	1/4     	4/4    	5    	1    	V        	         	g        	VII     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
32 	32 	1/2     	1/2     	4/4    	5    	1    	IV       	         	g        	VII     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0     	           	-1  	-1
33 	33 	0       	0       	4/4    	5    	1    	I6       	         	g        	VII     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
33 	33 	1/4     	1/4     	4/4    	5    	1    	I        	         	g        	VII     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
33 	33 	1/2     	1/2     	4/4    	5    	1    	V6       	         	g        	VII     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1      	           	1   	5
33 	33 	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	VII     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
34 	34 	0       	0       	4/4    	5    	1    	ii6      	         	g        	VII     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2     	           	2   	-1
34 	34 	1/2     	1/2     	4/4    	5    	1    	I6       	         	g        	VII     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
34 	34 	3/4     	3/4     	4/4    	5    	1    	I        	         	g        	VII     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
35 	35 	0       	0       	4/4    	5    	1    	V6       	         	g        	VII     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1      	           	1   	5
35 	35 	1/2     	1/2     	4/4    	5    	1    	vi       	         	g        	VII     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4      	           	3   	3
36 	36 	0       	0       	4/4    	5    	1    	V        	         	g        	VII     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
36 	36 	1/2     	1/2     	4/4    	5    	1    	IV       	         	g        	VII     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0     	           	-1  	-1
36 	36 	3/4     	3/4     	4/4    	5    	1    	ii6      	         	g        	VII     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2     	           	2   	-1
37 	37 	0       	0       	4/4    	5    	1    	iii      	         	g        	VII     	     	iii      	iii    	    	       	       	            	       	         	m         	1                 	0                	4, 1, 5      	           	4   	4
37 	37 	1/4     	1/4     	4/4    	5    	1    	I        	         	g        	VII     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
37 	37 	1/2     	1/2     	4/4    	5    	1    	v.i      	         	g        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
38 	38 	0       	0       	4/4    	5    	1    	V        	         	g        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
38 	38 	1/4     	1/4     	4/4    	5    	1    	iv       	         	g        	v       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
38 	38 	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	g        	v       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
