mc	mn	mc_onset	mn_onset	timesig	staff	voice	label   	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
36	36	1/4     	1/4     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
36	36	1/2     	1/2     	4/4    	5    	1    	I\\     	         	F        	I       	     	I       	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
36	36	3/4     	3/4     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
37	37	0       	0       	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
37	37	1/4     	1/4     	4/4    	5    	1    	iii     	         	F        	I       	     	iii     	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5    	           	4   	4
37	37	1/2     	1/2     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
38	38	1/4     	1/4     	4/4    	5    	1    	vi6     	         	F        	I       	     	vi6     	vi     	    	6      	       	            	       	         	m         	0                 	0                	0, 4, 3    	           	3   	0
38	38	1/2     	1/2     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
38	38	3/4     	3/4     	4/4    	5    	1    	V(64)   	         	F        	I       	     	V(64)   	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4    	           	1   	1
39	39	0       	0       	4/4    	5    	1    	V(4)    	         	F        	I       	     	V(4)    	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2    	           	1   	1
39	39	1/4     	1/4     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
39	39	1/2     	1/2     	4/4    	5    	1    	I\\     	         	F        	I       	     	I       	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
40	40	0       	0       	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
