mc	mn	mc_onset	mn_onset	timesig	staff	voice	label      	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
58	58	0       	0       	4/4    	5    	1    	VII.V(b64)]	         	d        	VII     	v    	V(b64) 	V      	    	       	b64    	            	       	         	M         	1                 	0                	1, 0, -3    	           	1   	1
59	59	0       	0       	4/4    	5    	1    	viio       	         	d        	VII     	     	viio   	vii    	o   	       	       	            	       	         	o         	1                 	0                	5, 2, -1    	           	5   	5
59	59	1/4     	1/4     	4/4    	5    	1    	i          	         	d        	VII     	     	i      	i      	    	       	       	            	       	         	m         	1                 	0                	0, -3, 1    	           	0   	0
59	59	1/2     	1/2     	4/4    	5    	1    	viio(2)    	         	d        	VII     	     	viio(2)	vii    	o   	       	2      	            	       	         	o         	1                 	0                	0, 2, -1    	           	5   	0
59	59	3/4     	3/4     	4/4    	5    	1    	viio       	         	d        	VII     	     	viio   	vii    	o   	       	       	            	       	         	o         	1                 	0                	5, 2, -1    	           	5   	5
60	60	0       	0       	4/4    	5    	1    	I\\        	         	d        	VII     	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1     	           	0   	0
60	60	1/4     	1/4     	4/4    	5    	1    	I          	         	d        	VII     	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1     	           	0   	0
61	61	1/2     	1/2     	4/4    	5    	1    	i.iv6      	         	d        	i       	     	iv6    	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1   	           	-1  	-4
62	62	0       	0       	4/4    	5    	1    	v[v7       	         	d        	i       	v    	v7     	v      	    	7      	       	            	       	         	mm7       	1                 	1                	1, -2, 2, -1	           	1   	1
62	62	1/2     	1/2     	4/4    	5    	1    	IIIM7      	         	d        	i       	v    	IIIM7  	III    	M   	7      	       	            	       	         	MM7       	1                 	1                	-3, 1, -2, 2	           	-3  	-3
63	63	0       	0       	4/4    	5    	1    	v          	         	d        	i       	v    	v      	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2    	           	1   	1
63	63	1/2     	1/2     	4/4    	5    	1    	ii         	         	d        	i       	v    	ii     	ii     	    	       	       	            	       	         	m         	1                 	1                	2, -1, 3    	           	2   	2
64	64	0       	0       	4/4    	5    	1    	V          	         	d        	i       	v    	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
